SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	D-C	121-124	AIF102-4	Algoritma & Struktur Data	E-D	122-142
AIF105-3	Pengantar Informatika	E-C	121-171	AIF104-3	Logika Informatika	E-B	122-132
AIF191-3	Pemrograman Berorientasi Objek	C	121	AIF106-3	Sistem Dijital	D	122
MKU001-2	Pendidikan Pancasila	D	121	AMS190-3	Matematika Informatika	C	122
MKU008-2	Etika	C	121	MKU009-2	Bahasa Indonesia	C	142
MKU010-2	Bahasa Inggris	B	122	MKU011-2	Estetika	B	122

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	C	131	AIF202-4	Desain & Analisis Algoritma	E-C	151-152
AIF203-4	Struktur Diskrit	C	131	AIF204-4	Manajemen Informasi & Basis Data	E-D	132-162
AIF205-3	Arsitektur & Organisasi Komputer	D-B	131-144	AIF206-4	Sistem Operasi	C	132
AMS200-3	Probabilitas & Statistika	C	131	AIF208-4	Rekayasa Perangkat Lunak	D	132
MKU003-2	Pendidikan Agama (katolik)	C	131	AIF210-2	Interaksi Manusia Komputer	C	132
MKU012-2	Logika	B	131				

SEMESTER 1			SEMESTER 2
AIF101-6	Pemrograman Berorientasi Objek	A	171	AIF102-4	Algoritma & Struktur Data	C	122
AIF103-3	Matematika Diskrit	C	121	AIF104-3	Logika Informatika	D-A	122-134
AIF105-3	Pengantar Informatika	E-B	121-124	AIF106-3	Sistem Dijital	D	122
AIF191-3	Pemrograman Berorientasi Objek [X]	D-C	121-124	AMS100-4	Matematika Informatika	C	121
MKU001-2	Pendidikan Pancasila <<	D-C	121-172	MKU009-2	Bahasa Indonesia	C	142
MKU008-2	Etika	C	121	MKU011-2	Estetika	B	122
MKU010-2	Bahasa Inggris	A	122				

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	B	131	AIF202-4	Desain & Analisis Algoritma	D-B	132-162
AIF203-4	Struktur Diskrit	B	131	AIF204-4	Manajemen Informasi & Basis Data	E-D	132-152
AIF205-3	Arsitektur & Organisasi Komputer	D-E-A	131-141-144	AIF206-4	Sistem Operasi	C	132
AMS200-3	Probabilitas & Statistika	B	131	AIF208-4	Rekayasa Perangkat Lunak <<	D-D	132-172
MKU003-2	Pendidikan Agama (katolik)	A	131	AIF210-2	Interaksi Manusia Komputer <<	D-C	132-172
MKU012-2	Logika	B	131				

SEMESTER 1			SEMESTER 2
AIF101-6	Pemrograman Berorientasi Objek	D	152	AIF102-4	Algoritma & Struktur Data	C	122
AIF103-3	Matematika Diskrit	D-E	121-124	AIF104-3	Logika Informatika	B	122
AIF105-3	Pengantar Informatika	D-B	121-131	AIF106-3	Sistem Dijital	B	122
AIF191-3	Pemrograman Berorientasi Objek [X]	D	121	AMS100-4	Matematika Informatika	A	121
MKU001-2	Pendidikan Pancasila	B	121	MKU009-2	Bahasa Indonesia	C	161
MKU008-2	Etika	B	121	MKU011-2	Estetika	B	122
MKU010-2	Bahasa Inggris	A	122				

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	B	131	AIF202-4	Desain & Analisis Algoritma	E-E-C	132-142-151
AIF203-4	Struktur Diskrit	C	131	AIF204-4	Manajemen Informasi & Basis Data	D	132
AIF205-3	Arsitektur & Organisasi Komputer	C	131	AIF206-4	Sistem Operasi	D	132
AMS200-3	Probabilitas & Statistika	C	131	AIF208-4	Rekayasa Perangkat Lunak	C	132
MKU003-2	Pendidikan Agama (katolik)	C	131	AIF210-2	Interaksi Manusia Komputer	B	132
MKU012-2	Logika	C	131				

SEMESTER 1			SEMESTER 2			
AIF103-3	Matematika Diskrit	C	121	AIF102-4	Algoritma & Struktur Data	C	122
AIF105-3	Pengantar Informatika	D-E	121-124	AIF104-3	Logika Informatika	E-E-C	122-132-154
AIF191-3	Pemrograman Berorientasi Objek	C	121	AIF106-3	Sistem Dijital	E-D	122-162
MKU001-2	Pendidikan Pancasila	E-E-E-B	121-131-141-161	AMS100-4	Matematika Informatika	C	121
MKU008-2	Etika	C	121	MKU009-2	Bahasa Indonesia	B	152
MKU010-2	Bahasa Inggris	E-C	122-131	MKU011-2	Estetika	B	122

			SEMESTER 4			
AIF201-4	Analisis & Desain Berorientasi Objek	C	131	AIF202-4	Desain & Analisis Algoritma	E-E-A	132-142-161
AIF203-4	Struktur Diskrit	A	131	AIF204-4	Manajemen Informasi & Basis Data	E-E-D	132-152-162
AIF205-3	Arsitektur & Organisasi Komputer	E-D	141-144	AIF206-4	Sistem Operasi <<	E-E-C	142-162-172
AMS200-3	Probabilitas & Statistika	C	131	AIF208-4	Rekayasa Perangkat Lunak	E-D	132-144
MKU004-2	Pendidikan Agama (fenomenologi)	B	152	AIF210-2	Interaksi Manusia Komputer	D	132
MKU012-2	Logika	D	152				

SEMESTER 1			SEMESTER 2		
AIF103-3	Matematika Diskrit	D	121	AIF102-4	Algoritma & Struktur Data	E-B	122-131
AIF105-3	Pengantar Informatika	A	121	AIF104-3	Logika Informatika	C	122
AIF191-3	Pemrograman Berorientasi Objek	C	121	AIF106-3	Sistem Dijital	D	122
MKU001-2	Pendidikan Pancasila	B	121	AMS100-4	Matematika Informatika	B	121
MKU008-2	Etika	A	121	MKU009-2	Bahasa Indonesia	C	141
MKU010-2	Bahasa Inggris	A	122	MKU011-2	Estetika	E-B	122-132

			SEMESTER 4		
AIF201-4	Analisis & Desain Berorientasi Objek	B	131	AIF202-4	Desain & Analisis Algoritma	D-E	132-142
AIF203-4	Struktur Diskrit	A	131	AIF204-4	Manajemen Informasi & Basis Data	D-D	132-142
AIF205-3	Arsitektur & Organisasi Komputer	B	131	AIF206-4	Sistem Operasi	C	132
AMS200-3	Probabilitas & Statistika	E-B	141-151	AIF208-4	Rekayasa Perangkat Lunak	D	132
MKU004-2	Pendidikan Agama (fenomenologi)	B	131	AIF210-2	Interaksi Manusia Komputer	D	132
MKU012-2	Logika	C	122				___________________________________________
