SEMESTER 1			SEMESTER 2		
AIF103-3	Matematika Diskrit	B	121	AIF102-4	Algoritma & Struktur Data	E-A	122-132
AIF105-3	Pengantar Informatika	C	121	AIF104-3	Logika Informatika	E-C	122-132
AIF191-3	Pemrograman Berorientasi Objek	B	121	AIF106-3	Sistem Dijital	E-A	122-132
MKU001-2	Pendidikan Pancasila	C	121	AMS100-4	Matematika Informatika	B	121
MKU008-2	Etika	B	121	MKU009-2	Bahasa Indonesia	B	151
MKU010-2	Bahasa Inggris	E-A	122-142	MKU011-2	Estetika	E-B	122-132

			SEMESTER 4			
AIF201-4	Analisis & Desain Berorientasi Objek	A	141	AIF202-4	Desain & Analisis Algoritma	B	142
AIF203-4	Struktur Diskrit	B	141	AIF204-4	Manajemen Informasi & Basis Data	B	142
AIF205-3	Arsitektur & Organisasi Komputer	C	141	AIF206-4	Sistem Operasi	C	142
AMS200-3	Probabilitas & Statistika	B	141	AIF208-4	Rekayasa Perangkat Lunak	C	142
MKU004-2	Pendidikan Agama (fenomenologi)	C	132	AIF210-2	Interaksi Manusia Komputer	C	142
MKU012-2	Logika	A	132				

SEMESTER 1			SEMESTER 2				
AIF103-3	Matematika Diskrit	C	121	AIF102-4	Algoritma & Struktur Data	D	132
AIF105-3	Pengantar Informatika	D-C	121-131	AIF104-3	Logika Informatika	B	122
AIF191-3	Pemrograman Berorientasi Objek	E-B	121-122	AIF106-3	Sistem Dijital	D-B	122-132
MKU001-2	Pendidikan Pancasila	C	121	AMS100-4	Matematika Informatika	C	121
MKU008-2	Etika	B	121	MKU009-2	Bahasa Indonesia	D	152
MKU010-2	Bahasa Inggris	A	122	MKU011-2	Estetika	C	122

			SEMESTER 4		
AIF201-4	Analisis & Desain Berorientasi Objek	D	131	AIF202-4	Desain & Analisis Algoritma	E-C	142-161
AIF203-4	Struktur Diskrit	B	131	AIF204-4	Manajemen Informasi & Basis Data	D	132
AIF205-3	Arsitektur & Organisasi Komputer	D-D	131-141	AIF206-4	Sistem Operasi	D	142
AMS200-3	Probabilitas & Statistika	E-D	131-161	AIF208-4	Rekayasa Perangkat Lunak	C	132
MKU004-2	Pendidikan Agama (fenomenologi)	C	131	AIF210-2	Interaksi Manusia Komputer	C	132
MKU012-2	Logika	A	131				

SEMESTER 1			SEMESTER 2			
AIF103-3	Matematika Diskrit	E-B	121-124	AIF102-4	Algoritma & Struktur Data	D	132
AIF105-3	Pengantar Informatika	E-B	121-141	AIF104-3	Logika Informatika	D-A	122-134
AIF191-3	Pemrograman Berorientasi Objek	E-D	121-122	AIF106-3	Sistem Dijital	E-B	122-132
MKU001-2	Pendidikan Pancasila	C	121	AMS100-4	Matematika Informatika	B	121
MKU008-2	Etika	B	121	MKU009-2	Bahasa Indonesia	B	142
MKU010-2	Bahasa Inggris	A	122	MKU011-2	Estetika	A	122

			SEMESTER 4		
AIF201-4	Analisis & Desain Berorientasi Objek	D	131	AIF202-4	Desain & Analisis Algoritma	E-C	142-151
AIF203-4	Struktur Diskrit	B	131	AIF204-4	Manajemen Informasi & Basis Data	D	132
AIF205-3	Arsitektur & Organisasi Komputer	C	131	AIF206-4	Sistem Operasi	C	142
AMS200-3	Probabilitas & Statistika	B	131	AIF208-4	Rekayasa Perangkat Lunak	C	132
MKU004-2	Pendidikan Agama (fenomenologi)	A	131	AIF210-2	Interaksi Manusia Komputer	A	132
MKU012-2	Logika	B	131				

SEMESTER 1			SEMESTER 2
AIF101-6	Pemrograman Berorientasi Objek [X]	E	131	AIF102-4	Algoritma & Struktur Data	E-E-D	132-142-151
AIF103-3	Matematika Diskrit	B	121	AIF104-3	Logika Informatika	C	122
AIF105-3	Pengantar Informatika	E-E-C	121-124-141	AIF106-3	Sistem Dijital	E-A	122-132
AIF191-3	Pemrograman Berorientasi Objek	E-D	121-122	AMS190-3	Matematika Informatika	D	122
MKU001-2	Pendidikan Pancasila	C	121	MKU009-2	Bahasa Indonesia	B	142
MKU008-2	Etika	C	121	MKU011-2	Estetika	B	122
MKU010-2	Bahasa Inggris	A	122				

			SEMESTER 4			
AIF201-4	Analisis & Desain Berorientasi Objek	D	141	AIF202-4	Desain & Analisis Algoritma	D	152
AIF203-4	Struktur Diskrit	A	131	AIF204-4	Manajemen Informasi & Basis Data	E-D	132-142
AIF205-3	Arsitektur & Organisasi Komputer	B	131	AIF206-4	Sistem Operasi	E-B	142-152
AMS200-3	Probabilitas & Statistika	C	131	AIF208-4	Rekayasa Perangkat Lunak	D	142
MKU004-2	Pendidikan Agama (fenomenologi)	C	131	AIF210-2	Interaksi Manusia Komputer	C	132
MKU012-2	Logika	B	132				

SEMESTER 1			SEMESTER 2
AIF101-6	Pemrograman Berorientasi Objek <<	D-B	131-171	AIF102-4	Algoritma & Struktur Data	E-C	132-142
AIF103-3	Matematika Diskrit	E-C	121-124	AIF104-3	Logika Informatika	E-D-C	122-132-134
AIF105-3	Pengantar Informatika	D-E	121-124	AIF106-3	Sistem Dijital	E-B	122-132
AIF191-3	Pemrograman Berorientasi Objek [X]	E-D	121-122	AMS100-4	Matematika Informatika	E-E-E-B	121-132-142-154
MKU001-2	Pendidikan Pancasila	C	121	MKU009-2	Bahasa Indonesia	C	132
MKU008-2	Etika	C	121	MKU011-2	Estetika	B	122
MKU010-2	Bahasa Inggris	A	122				

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	D	141	AIF202-4	Desain & Analisis Algoritma	D	151
AIF203-4	Struktur Diskrit	B	131	AIF204-4	Manajemen Informasi & Basis Data	D	142
AIF205-3	Arsitektur & Organisasi Komputer	C	131	AIF206-4	Sistem Operasi	D	152
AMS200-3	Probabilitas & Statistika	E-B	141-144	AIF208-4	Rekayasa Perangkat Lunak	D	142
MKU003-2	Pendidikan Agama (katolik)	B	131	AIF210-2	Interaksi Manusia Komputer	B	142
MKU012-2	Logika	E-B	131-141				
