SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	A	111	AIF104-3	Logika Informatika	A	112
AIF105-3	Pengantar Informatika	A	111	AIF106-3	Sistem Dijital	A	112
AIF191-3	Pemrograman Berorientasi Objek	A	112	AIF192-3	Algoritma & Struktur Data	A	121
MKU001-2	Pendidikan Pancasila	A	111	AMS100-4	Matematika Informatika	A	111
MKU008-2	Etika	A	111	MKU009-2	Bahasa Indonesia	A	132
MKU010-2	Bahasa Inggris	A	112	MKU011-2	Estetika	A	121

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	A	121	AIF206-4	Sistem Operasi	A	121
AIF205-3	Arsitektur & Organisasi Komputer	A	121	AIF208-4	Rekayasa Perangkat Lunak	A	122
AMS200-3	Probabilitas & Statistika	A	122	AIF210-2	Interaksi Manusia Komputer	A	122
MKU004-2	Pendidikan Agama (fenomenologi)	A	114	AIF292-3	Desain & Analisis Algoritma	A	122
MKU012-2	Logika	A	114	AIF294-3	Manajemen Informasi & Basis Data	A	121
