SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	A	101	AIF104-3	Logika Informatika	B	102
AIF105-3	Pengantar Informatika	C	101	AIF106-3	Sistem Dijital	A	102
AIF181-3	Dasar-dasar Pemrograman	A	101	AIF182-2	Pengantar Basis Data	C	102
AIF191-3	Pemrograman Berorientasi Objek	A	102	AIF192-3	Algoritma & Struktur Data	A	111
MKU001-2	Pendidikan Pancasila	B	101	AMS100-4	Matematika Informatika	A	101
MKU008-2	Etika	B	101	AMS290-3	Aljabar Linear & Matriks	D-B	102-104
MKU010-2	Bahasa Inggris	A	112	MKU009-2	Bahasa Indonesia	C	122
				MKU011-2	Estetika	B	111

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	B	111	AIF206-4	Sistem Operasi	B	111
AIF205-3	Arsitektur & Organisasi Komputer	A	111	AIF208-4	Rekayasa Perangkat Lunak	C	122
AIF281-2	Pengenalan Bidang Ilmu Teknologi Informasi	B	111	AIF210-2	Interaksi Manusia Komputer	B	112
AMS200-3	Probabilitas & Statistika	E-B	112-114	AIF280-1	Praktika Interaksi Manusia Komputer	B	112
MKU004-2	Pendidikan Agama (fenomenologi)	B	104	AIF282-3	Algoritma & Struktur Data Lanjut	C	121
MKU012-2	Logika	B	102	AIF292-3	Desain & Analisis Algoritma	C-B	112-122
				AIF294-3	Manajemen Informasi & Basis Data	D-C	111-114

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	A	101	AIF104-3	Logika Informatika	A	102
AIF105-3	Pengantar Informatika	B	101	AIF106-3	Sistem Dijital	A	102
AIF181-3	Dasar-dasar Pemrograman	B	101	AIF182-2	Pengantar Basis Data	B	102
AIF191-3	Pemrograman Berorientasi Objek	A	102	AIF192-3	Algoritma & Struktur Data	A	111
MKU001-2	Pendidikan Pancasila	C	101	AMS100-4	Matematika Informatika	A	101
MKU008-2	Etika	B	101	AMS290-3	Aljabar Linear & Matriks	D-A	102-104
MKU010-2	Bahasa Inggris	A	102	MKU009-2	Bahasa Indonesia	B	131
				MKU011-2	Estetika	C	111

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	C	111	AIF206-4	Sistem Operasi	C	111
AIF205-3	Arsitektur & Organisasi Komputer	B	111	AIF208-4	Rekayasa Perangkat Lunak	B	122
AIF281-2	Pengenalan Bidang Ilmu Teknologi Informasi	B	111	AIF210-2	Interaksi Manusia Komputer	A	112
AMS200-3	Probabilitas & Statistika	B	112	AIF280-1	Praktika Interaksi Manusia Komputer	A	112
MKU004-2	Pendidikan Agama (fenomenologi)	A	104	AIF292-3	Desain & Analisis Algoritma	A	112
MKU012-2	Logika	A	104	AIF294-3	Manajemen Informasi & Basis Data	B	111

