SEMESTER 1			SEMESTER 2				
AIF101-6	Pemrograman Berorientasi Objek	A	141	AIF102-4	Algoritma & Struktur Data	A	142
AIF103-3	Matematika Diskrit	A	141	AIF104-3	Logika Informatika	B	142
AIF105-3	Pengantar Informatika	A	141	AIF106-3	Sistem Dijital	A	142
MKU001-2	Pendidikan Pancasila	C	141	AMS100-4	Matematika Informatika	A	142
MKU008-2	Etika	A	141	MKU009-2	Bahasa Indonesia	B	142
MKU010-2	Bahasa Inggris	A	141	MKU011-2	Estetika	A	142

			SEMESTER 4			
AIF201-4	Analisis & Desain Berorientasi Objek	A	151	AIF202-4	Desain & Analisis Algoritma	A	152
AIF203-4	Struktur Diskrit	A	151	AIF204-4	Manajemen Informasi & Basis Data	A	152
AIF205-3	Arsitektur & Organisasi Komputer	A	151	AIF206-4	Sistem Operasi	A	152
AMS200-3	Probabilitas & Statistika	A	151	AIF208-4	Rekayasa Perangkat Lunak	A	152
MKU004-2	Pendidikan Agama (fenomenologi)	A	142	AIF210-2	Interaksi Manusia Komputer	A	152
MKU012-2	Logika	A	142				

SEMESTER 1			SEMESTER 2			
AIF101-6	Pemrograman Berorientasi Objek	A	141	AIF102-4	Algoritma & Struktur Data	A	142
AIF103-3	Matematika Diskrit	B	141	AIF104-3	Logika Informatika	A	142
AIF105-3	Pengantar Informatika	A	141	AIF106-3	Sistem Dijital	A	142
MKU001-2	Pendidikan Pancasila	B	141	AMS100-4	Matematika Informatika	B	142
MKU008-2	Etika	B	141	MKU009-2	Bahasa Indonesia	A	142
MKU010-2	Bahasa Inggris	A	141	MKU011-2	Estetika	A	142

			SEMESTER 4		
AIF201-4	Analisis & Desain Berorientasi Objek	A	151	AIF202-4	Desain & Analisis Algoritma	A	152
AIF203-4	Struktur Diskrit	A	151	AIF204-4	Manajemen Informasi & Basis Data	A	152
AIF205-3	Arsitektur & Organisasi Komputer	A	151	AIF206-4	Sistem Operasi	A	152
AMS200-3	Probabilitas & Statistika	A	151	AIF208-4	Rekayasa Perangkat Lunak	A	152
MKU004-2	Pendidikan Agama (fenomenologi)	A	142	AIF210-2	Interaksi Manusia Komputer	A	152
MKU012-2	Logika	A	142				

SEMESTER 1			SEMESTER 2		
AIF101-6	Pemrograman Berorientasi Objek	B	141	AIF102-4	Algoritma & Struktur Data	B	142
AIF103-3	Matematika Diskrit	B	141	AIF104-3	Logika Informatika	A	142
AIF105-3	Pengantar Informatika	A	141	AIF106-3	Sistem Dijital	B	142
MKU001-2	Pendidikan Pancasila	B	141	AMS100-4	Matematika Informatika	A	142
MKU008-2	Etika	B	141	MKU009-2	Bahasa Indonesia	A	142
MKU010-2	Bahasa Inggris	A	141	MKU011-2	Estetika	A	142

			SEMESTER 4		
AIF201-4	Analisis & Desain Berorientasi Objek	A	151	AIF202-4	Desain & Analisis Algoritma	B	152
AIF203-4	Struktur Diskrit	A	151	AIF204-4	Manajemen Informasi & Basis Data	A	152
AIF205-3	Arsitektur & Organisasi Komputer	B	151	AIF206-4	Sistem Operasi	A	152
AMS200-3	Probabilitas & Statistika	A	151	AIF208-4	Rekayasa Perangkat Lunak	A	152
MKU004-2	Pendidikan Agama (fenomenologi)	A	151	AIF210-2	Interaksi Manusia Komputer	A	152
MKU012-2	Logika	A	142				

SEMESTER 1			SEMESTER 2		
AIF101-6	Pemrograman Berorientasi Objek	B	141	AIF102-4	Algoritma & Struktur Data	A	142
AIF103-3	Matematika Diskrit	B	141	AIF104-3	Logika Informatika	A	142
AIF105-3	Pengantar Informatika	B	141	AIF106-3	Sistem Dijital	A	142
