SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	C	101	AIF102-4	Algoritma & Struktur Data	D	132
AIF105-3	Pengantar Informatika	C	101	AIF104-3	Logika Informatika	C	102
AIF181-3	Dasar-dasar Pemrograman	D	102	AIF106-3	Sistem Dijital	D	102
AIF191-3	Pemrograman Berorientasi Objek	D	101	AIF182-2	Pengantar Basis Data	D	102
MKU001-2	Pendidikan Pancasila	C	101	AIF192-3	Algoritma & Struktur Data [X]	E	111
MKU008-2	Etika	B	101	AMS190-3	Matematika Informatika	E-C	102-114
MKU010-2	Bahasa Inggris	E-C	112-122	AMS191-4	Kalkulus [X]	D	101
				MKU009-2	Bahasa Indonesia	D	131
				MKU011-2	Estetika	B	111

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	C	111	AIF206-4	Sistem Operasi	E-C	111-124
AIF205-3	Arsitektur & Organisasi Komputer	C	111	AIF208-4	Rekayasa Perangkat Lunak [X]	E	122
AIF281-2	Pengenalan Bidang Ilmu Teknologi Informasi	B	111	AIF210-2	Interaksi Manusia Komputer	C	112
AMS200-3	Probabilitas & Statistika	D	112	AIF280-1	Praktika Interaksi Manusia Komputer	C	112
MKU004-2	Pendidikan Agama (fenomenologi)	A	104	AIF292-3	Desain & Analisis Algoritma	D	122
MKU012-2	Logika	C	104	AIF294-3	Manajemen Informasi & Basis Data	E-C	111-114

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	D	101	AIF102-4	Algoritma & Struktur Data	E-D	131-132
AIF105-3	Pengantar Informatika	C	101	AIF104-3	Logika Informatika	C	102
AIF181-3	Dasar-dasar Pemrograman	D	102	AIF106-3	Sistem Dijital	E-D	102-112
AIF191-3	Pemrograman Berorientasi Objek	E-C	101-104	AIF182-2	Pengantar Basis Data [X]	D	102
MKU001-2	Pendidikan Pancasila <<	D-B	101-142	AIF192-3	Algoritma & Struktur Data [X]	E	111
MKU008-2	Etika	C	101	AMS190-3	Matematika Informatika	E-C	102-104
MKU010-2	Bahasa Inggris	A	112	AMS191-4	Kalkulus	D	101
				ESM203-3	Pengantar Manajemen Pemasaran	B	122
				MKU009-2	Bahasa Indonesia	C	132
				MKU011-2	Estetika	B	121

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	D	111	AIF202-4	Desain & Analisis Algoritma	D	141
AIF205-3	Arsitektur & Organisasi Komputer	A	111	AIF206-4	Sistem Operasi	E-C	111-124
AIF281-2	Pengenalan Bidang Ilmu Teknologi Informasi	B	111	AIF210-2	Interaksi Manusia Komputer	B	112
AMS200-3	Probabilitas & Statistika	C	112	AIF280-1	Praktika Interaksi Manusia Komputer	B	112
ESM204-3	Manajemen Keuangan I	C	122	AIF294-3	Manajemen Informasi & Basis Data	D-C	111-114
MKU004-2	Pendidikan Agama (fenomenologi)	D-B	131-141				
MKU012-2	Logika	B	111				

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	C	101	AIF102-4	Algoritma & Struktur Data	E-D	131-132
AIF105-3	Pengantar Informatika	D-A	101-104	AIF104-3	Logika Informatika	C	102
AIF181-3	Dasar-dasar Pemrograman	E-C	102-122	AIF106-3	Sistem Dijital	D-C	102-114
AIF191-3	Pemrograman Berorientasi Objek	D-B	101-104	AIF182-2	Pengantar Basis Data	C	102
MKU001-2	Pendidikan Pancasila <<	D-B	101-142	AIF192-3	Algoritma & Struktur Data [X]	E	111
MKU008-2	Etika	C	101	AMS190-3	Matematika Informatika	E-D-A	102-114-124
MKU010-2	Bahasa Inggris <<	D-D	102-142	AMS191-4	Kalkulus	C	101
				ESM203-3	Pengantar Manajemen Pemasaran	C	122
				MKU009-2	Bahasa Indonesia	C	132
				MKU011-2	Estetika	A	121

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	C	111	AIF202-4	Desain & Analisis Algoritma	C	141
AIF205-3	Arsitektur & Organisasi Komputer	C	111	AIF206-4	Sistem Operasi	E-C	111-124
AIF281-2	Pengenalan Bidang Ilmu Teknologi Informasi	B	111	AIF210-2	Interaksi Manusia Komputer	B	112
AMS200-3	Probabilitas & Statistika	C	112	AIF280-1	Praktika Interaksi Manusia Komputer	B	112
ESM204-3	Manajemen Keuangan I [X]	D	122	AIF292-3	Desain & Analisis Algoritma [X]	E	112
MKU004-2	Pendidikan Agama (fenomenologi)	D-B	131-141	AIF294-3	Manajemen Informasi & Basis Data	D-B	111-114
MKU012-2	Logika	B	112				

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	B	101	AIF102-4	Algoritma & Struktur Data	D	131
AIF105-3	Pengantar Informatika	C	101	AIF104-3	Logika Informatika	B	102
AIF181-3	Dasar-dasar Pemrograman	C	102	AIF106-3	Sistem Dijital	B	102
AIF191-3	Pemrograman Berorientasi Objek	D-A	101-104	AIF182-2	Pengantar Basis Data	B	102
MKU001-2	Pendidikan Pancasila	C	101	AIF192-3	Algoritma & Struktur Data [X]	E	111
MKU008-2	Etika	B	101	AMS190-3	Matematika Informatika	D-A	102-114
MKU010-2	Bahasa Inggris	B	102	AMS191-4	Kalkulus	B	101
				ESM203-3	Pengantar Manajemen Pemasaran	B	122
				MKU009-2	Bahasa Indonesia	B	132
				MKU011-2	Estetika	B	111

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	D-D	111-121	AIF206-4	Sistem Operasi	D	111
AIF205-3	Arsitektur & Organisasi Komputer	B	111	AIF210-2	Interaksi Manusia Komputer	C	112
AIF281-2	Pengenalan Bidang Ilmu Teknologi Informasi	A	111	AIF280-1	Praktika Interaksi Manusia Komputer [X]	C	112
AMS200-3	Probabilitas & Statistika	B	112	AIF292-3	Desain & Analisis Algoritma	D	112
ESM201-3	Perilaku Keorganisasian [X]	C	122	AIF294-3	Manajemen Informasi & Basis Data	C	111
ESM204-3	Manajemen Keuangan I	B	122				
MKU004-2	Pendidikan Agama (fenomenologi)	A	104				
MKU012-2	Logika	A	114				

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	D-D-B	101-111-124	AIF102-4	Algoritma & Struktur Data	E-E-D	122-131-132
AIF105-3	Pengantar Informatika	D-B	101-104	AIF104-3	Logika Informatika	C	102
AIF181-3	Dasar-dasar Pemrograman [X]	E-E	102-112	AIF106-3	Sistem Dijital	E-C	102-114
AIF191-3	Pemrograman Berorientasi Objek	D-C	101-124	AIF182-2	Pengantar Basis Data	D	102
MKU001-2	Pendidikan Pancasila	B	101	AIF192-3	Algoritma & Struktur Data [X]	E	111
MKU008-2	Etika	B	101	AMS190-3	Matematika Informatika	E-B	102-104
MKU010-2	Bahasa Inggris	C	132	AMS191-4	Kalkulus	C	101
				ESM203-3	Pengantar Manajemen Pemasaran	C	122
				MKU009-2	Bahasa Indonesia	B	132
				MKU011-2	Estetika	A	112

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	C	131	AIF202-4	Desain & Analisis Algoritma	C	141
AIF203-4	Struktur Diskrit	C	141	AIF206-4	Sistem Operasi	E-D	111-121
AIF205-3	Arsitektur & Organisasi Komputer	C	111	AIF210-2	Interaksi Manusia Komputer	B	112
AIF281-2	Pengenalan Bidang Ilmu Teknologi Informasi	B	111	AIF280-1	Praktika Interaksi Manusia Komputer	B	112
AMS200-3	Probabilitas & Statistika	D-E	112-141	AIF294-3	Manajemen Informasi & Basis Data	E-D	111-114
ESM201-3	Perilaku Keorganisasian	C	122				
ESM204-3	Manajemen Keuangan I	D	122				
MKU003-2	Pendidikan Agama (katolik)	B	102				
MKU012-2	Logika	A	132				

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	C	101	AIF104-3	Logika Informatika	B	102
AIF105-3	Pengantar Informatika	D	101	AIF106-3	Sistem Dijital	D-D	102-114
AIF181-3	Dasar-dasar Pemrograman	D	102	AIF182-2	Pengantar Basis Data	B	102
AIF191-3	Pemrograman Berorientasi Objek	C	101	AIF192-3	Algoritma & Struktur Data	D	111
MKU001-2	Pendidikan Pancasila	C	101	AMS190-3	Matematika Informatika	C	102
MKU008-2	Etika	D	101	AMS191-4	Kalkulus	C	101
MKU010-2	Bahasa Inggris	C	102	MKU009-2	Bahasa Indonesia	C	132
				MKU011-2	Estetika	A	121

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	C	111	AIF202-4	Desain & Analisis Algoritma	D	132
AIF205-3	Arsitektur & Organisasi Komputer	B	111	AIF206-4	Sistem Operasi	D-A	111-124
AIF281-2	Pengenalan Bidang Ilmu Teknologi Informasi	B	111	AIF208-4	Rekayasa Perangkat Lunak	D	122
AMS200-3	Probabilitas & Statistika	D-B	112-114	AIF210-2	Interaksi Manusia Komputer	D	112
MKU004-2	Pendidikan Agama (fenomenologi)	C	131	AIF280-1	Praktika Interaksi Manusia Komputer	D	112
